pK,pL,value
29/80<=pK<=3/8,49/80<=pL<=5/8, 	AllViolated
3/10<=pK<=5/16,13/20<=pL<=53/80, 	AllSat
5/16<=pK<=13/40,13/20<=pL<=53/80, 	AllSat
3/10<=pK<=5/16,53/80<=pL<=27/40, 	AllSat
27/80<=pK<=7/20,13/20<=pL<=53/80, 	AllViolated
27/80<=pK<=7/20,53/80<=pL<=27/40, 	AllViolated
3/10<=pK<=5/16,27/40<=pL<=11/16, 	AllSat
11/40<=pK<=23/80,29/40<=pL<=59/80, 	AllSat
11/40<=pK<=23/80,59/80<=pL<=3/4, 	AllSat
23/80<=pK<=3/10,61/80<=pL<=31/40, 	AllViolated
1/4<=pK<=21/80,31/40<=pL<=63/80, 	AllSat
21/80<=pK<=11/40,31/40<=pL<=63/80, 	AllSat
1/4<=pK<=21/80,63/80<=pL<=4/5, 	AllSat
23/80<=pK<=3/10,31/40<=pL<=63/80, 	AllViolated
23/80<=pK<=3/10,63/80<=pL<=4/5, 	AllViolated
1/4<=pK<=21/80,4/5<=pL<=13/16, 	AllSat
1/4<=pK<=21/80,13/16<=pL<=33/40, 	AllSat
21/80<=pK<=11/40,67/80<=pL<=17/20, 	AllViolated
9/40<=pK<=19/80,17/20<=pL<=69/80, 	AllSat
19/80<=pK<=1/4,17/20<=pL<=69/80, 	AllSat
9/40<=pK<=19/80,69/80<=pL<=7/8, 	AllSat
9/40<=pK<=19/80,7/8<=pL<=71/80, 	AllSat
9/40<=pK<=19/80,71/80<=pL<=9/10, 	AllSat
21/80<=pK<=11/40,17/20<=pL<=69/80, 	AllViolated
21/80<=pK<=11/40,69/80<=pL<=7/8, 	AllViolated
5/16<=pK<=13/40,7/10<=pL<=57/80, 	AllViolated
5/16<=pK<=13/40,57/80<=pL<=29/40, 	AllViolated
5/16<=pK<=13/40,29/40<=pL<=59/80, 	AllViolated
3/10<=pK<=5/16,59/80<=pL<=3/4, 	AllViolated
5/16<=pK<=13/40,59/80<=pL<=3/4, 	AllViolated
39/80<=pK<=79/160,17/40<=pL<=69/160, 	AllSat
79/160<=pK<=1/2,17/40<=pL<=69/160, 	AllSat
39/80<=pK<=79/160,69/160<=pL<=7/16, 	AllSat
19/40<=pK<=77/160,7/16<=pL<=71/160, 	AllSat
77/160<=pK<=39/80,7/16<=pL<=71/160, 	AllSat
19/40<=pK<=77/160,71/160<=pL<=9/20, 	AllSat
79/160<=pK<=1/2,71/160<=pL<=9/20, 	AllViolated
7/16<=pK<=71/160,19/40<=pL<=77/160, 	AllSat
71/160<=pK<=9/20,19/40<=pL<=77/160, 	AllSat
7/16<=pK<=71/160,77/160<=pL<=39/80, 	AllSat
17/40<=pK<=69/160,39/80<=pL<=79/160, 	AllSat
69/160<=pK<=7/16,39/80<=pL<=79/160, 	AllSat
17/40<=pK<=69/160,79/160<=pL<=1/2, 	AllSat
71/160<=pK<=9/20,79/160<=pL<=1/2, 	AllViolated
37/80<=pK<=15/32,9/20<=pL<=73/160, 	AllSat
15/32<=pK<=19/40,9/20<=pL<=73/160, 	AllSat
37/80<=pK<=15/32,73/160<=pL<=37/80, 	AllSat
9/20<=pK<=73/160,37/80<=pL<=15/32, 	AllSat
73/160<=pK<=37/80,37/80<=pL<=15/32, 	AllSat
9/20<=pK<=73/160,15/32<=pL<=19/40, 	AllSat
15/32<=pK<=19/40,15/32<=pL<=19/40, 	AllViolated
77/160<=pK<=39/80,73/160<=pL<=37/80, 	AllViolated
73/160<=pK<=37/80,77/160<=pL<=39/80, 	AllViolated
29/40<=pK<=117/160,23/80<=pL<=47/160, 	AllSat
117/160<=pK<=59/80,23/80<=pL<=47/160, 	AllSat
119/160<=pK<=3/4,47/160<=pL<=3/10, 	AllViolated
63/80<=pK<=127/160,21/80<=pL<=43/160, 	AllSat
127/160<=pK<=4/5,21/80<=pL<=43/160, 	AllSat
3/4<=pK<=121/160,11/40<=pL<=9/32, 	AllSat
121/160<=pK<=61/80,11/40<=pL<=9/32, 	AllSat
3/4<=pK<=121/160,9/32<=pL<=23/80, 	AllSat
61/80<=pK<=123/160,11/40<=pL<=9/32, 	AllSat
3/4<=pK<=121/160,47/160<=pL<=3/10, 	AllViolated
121/160<=pK<=61/80,47/160<=pL<=3/10, 	AllViolated
31/40<=pK<=25/32,9/32<=pL<=23/80, 	AllViolated
25/32<=pK<=63/80,9/32<=pL<=23/80, 	AllViolated
127/160<=pK<=4/5,11/40<=pL<=9/32, 	AllViolated
63/80<=pK<=127/160,9/32<=pL<=23/80, 	AllViolated
127/160<=pK<=4/5,9/32<=pL<=23/80, 	AllViolated
69/80<=pK<=139/160,19/80<=pL<=39/160, 	AllSat
139/160<=pK<=7/8,19/80<=pL<=39/160, 	AllSat
69/80<=pK<=139/160,39/160<=pL<=1/4, 	AllSat
7/8<=pK<=141/160,19/80<=pL<=39/160, 	AllSat
141/160<=pK<=71/80,19/80<=pL<=39/160, 	AllSat
143/160<=pK<=9/10,39/160<=pL<=1/4, 	AllViolated
4/5<=pK<=129/160,21/80<=pL<=43/160, 	AllSat
13/16<=pK<=131/160,43/160<=pL<=11/40, 	AllViolated
131/160<=pK<=33/40,43/160<=pL<=11/40, 	AllViolated
33/40<=pK<=133/160,1/4<=pL<=41/160, 	AllSat
133/160<=pK<=67/80,1/4<=pL<=41/160, 	AllSat
67/80<=pK<=27/32,1/4<=pL<=41/160, 	AllSat
133/160<=pK<=67/80,21/80<=pL<=43/160, 	AllViolated
33/40<=pK<=133/160,43/160<=pL<=11/40, 	AllViolated
133/160<=pK<=67/80,43/160<=pL<=11/40, 	AllViolated
17/20<=pK<=137/160,41/160<=pL<=21/80, 	AllViolated
137/160<=pK<=69/80,41/160<=pL<=21/80, 	AllViolated
69/80<=pK<=139/160,41/160<=pL<=21/80, 	AllViolated
139/160<=pK<=7/8,41/160<=pL<=21/80, 	AllViolated
43/80<=pK<=87/160,31/80<=pL<=63/160, 	AllSat
87/160<=pK<=11/20,31/80<=pL<=63/160, 	AllSat
43/80<=pK<=87/160,63/160<=pL<=2/5, 	AllSat
23/40<=pK<=93/160,29/80<=pL<=59/160, 	AllSat
93/160<=pK<=47/80,29/80<=pL<=59/160, 	AllSat
19/32<=pK<=3/5,59/160<=pL<=3/8, 	AllViolated
11/20<=pK<=89/160,3/8<=pL<=61/160, 	AllSat
89/160<=pK<=9/16,3/8<=pL<=61/160, 	AllSat
11/20<=pK<=89/160,61/160<=pL<=31/80, 	AllSat
9/16<=pK<=91/160,3/8<=pL<=61/160, 	AllSat
89/160<=pK<=9/16,63/160<=pL<=2/5, 	AllViolated
93/160<=pK<=47/80,3/8<=pL<=61/160, 	AllViolated
23/40<=pK<=93/160,61/160<=pL<=31/80, 	AllViolated
93/160<=pK<=47/80,61/160<=pL<=31/80, 	AllViolated
49/80<=pK<=99/160,27/80<=pL<=11/32, 	AllSat
99/160<=pK<=5/8,27/80<=pL<=11/32, 	AllSat
49/80<=pK<=99/160,11/32<=pL<=7/20, 	AllSat
51/80<=pK<=103/160,13/40<=pL<=53/160, 	AllSat
103/160<=pK<=13/20,13/40<=pL<=53/160, 	AllSat
51/80<=pK<=103/160,53/160<=pL<=27/80, 	AllSat
5/8<=pK<=101/160,27/80<=pL<=11/32, 	AllSat
51/80<=pK<=103/160,11/32<=pL<=7/20, 	AllViolated
103/160<=pK<=13/20,11/32<=pL<=7/20, 	AllViolated
53/80<=pK<=107/160,5/16<=pL<=51/160, 	AllSat
107/160<=pK<=27/40,5/16<=pL<=51/160, 	AllSat
53/80<=pK<=107/160,51/160<=pL<=13/40, 	AllSat
11/16<=pK<=111/160,3/10<=pL<=49/160, 	AllSat
111/160<=pK<=7/10,3/10<=pL<=49/160, 	AllSat
11/16<=pK<=111/160,49/160<=pL<=5/16, 	AllSat
27/40<=pK<=109/160,5/16<=pL<=51/160, 	AllSat
11/16<=pK<=111/160,51/160<=pL<=13/40, 	AllViolated
111/160<=pK<=7/10,51/160<=pL<=13/40, 	AllViolated
13/20<=pK<=21/32,13/40<=pL<=53/160, 	AllSat
53/80<=pK<=107/160,53/160<=pL<=27/80, 	AllViolated
107/160<=pK<=27/40,53/160<=pL<=27/80, 	AllViolated
3/5<=pK<=97/160,7/20<=pL<=57/160, 	AllSat
49/80<=pK<=99/160,57/160<=pL<=29/80, 	AllViolated
99/160<=pK<=5/8,57/160<=pL<=29/80, 	AllViolated
97/160<=pK<=49/80,29/80<=pL<=59/160, 	AllViolated
3/5<=pK<=97/160,59/160<=pL<=3/8, 	AllViolated
97/160<=pK<=49/80,59/160<=pL<=3/8, 	AllViolated
1/2<=pK<=81/160,33/80<=pL<=67/160, 	AllSat
81/160<=pK<=41/80,33/80<=pL<=67/160, 	AllSat
1/2<=pK<=81/160,67/160<=pL<=17/40, 	AllSat
41/80<=pK<=83/160,33/80<=pL<=67/160, 	AllSat
21/40<=pK<=17/32,2/5<=pL<=13/32, 	AllSat
43/80<=pK<=87/160,13/32<=pL<=33/80, 	AllViolated
87/160<=pK<=11/20,13/32<=pL<=33/80, 	AllViolated
17/32<=pK<=43/80,33/80<=pL<=67/160, 	AllViolated
21/40<=pK<=17/32,67/160<=pL<=17/40, 	AllViolated
17/32<=pK<=43/80,67/160<=pL<=17/40, 	AllViolated
81/160<=pK<=41/80,69/160<=pL<=7/16, 	AllViolated
7/10<=pK<=113/160,3/10<=pL<=49/160, 	AllSat
57/80<=pK<=23/32,49/160<=pL<=5/16, 	AllViolated
23/32<=pK<=29/40,49/160<=pL<=5/16, 	AllViolated
117/160<=pK<=59/80,3/10<=pL<=49/160, 	AllViolated
29/40<=pK<=117/160,49/160<=pL<=5/16, 	AllViolated
117/160<=pK<=59/80,49/160<=pL<=5/16, 	AllViolated
31/80<=pK<=63/160,43/80<=pL<=87/160, 	AllSat
63/160<=pK<=2/5,43/80<=pL<=87/160, 	AllSat
31/80<=pK<=63/160,87/160<=pL<=11/20, 	AllSat
3/8<=pK<=61/160,11/20<=pL<=89/160, 	AllSat
61/160<=pK<=31/80,11/20<=pL<=89/160, 	AllSat
3/8<=pK<=61/160,89/160<=pL<=9/16, 	AllSat
63/160<=pK<=2/5,89/160<=pL<=9/16, 	AllViolated
3/8<=pK<=61/160,9/16<=pL<=91/160, 	AllSat
29/80<=pK<=59/160,23/40<=pL<=93/160, 	AllSat
29/80<=pK<=59/160,93/160<=pL<=47/80, 	AllSat
59/160<=pK<=3/8,19/32<=pL<=3/5, 	AllViolated
61/160<=pK<=31/80,23/40<=pL<=93/160, 	AllViolated
3/8<=pK<=61/160,93/160<=pL<=47/80, 	AllViolated
61/160<=pK<=31/80,93/160<=pL<=47/80, 	AllViolated
33/80<=pK<=67/160,1/2<=pL<=81/160, 	AllSat
67/160<=pK<=17/40,1/2<=pL<=81/160, 	AllSat
33/80<=pK<=67/160,81/160<=pL<=41/80, 	AllSat
33/80<=pK<=67/160,41/80<=pL<=83/160, 	AllSat
69/160<=pK<=7/16,81/160<=pL<=41/80, 	AllViolated
2/5<=pK<=13/32,21/40<=pL<=17/32, 	AllSat
67/160<=pK<=17/40,21/40<=pL<=17/32, 	AllViolated
33/80<=pK<=67/160,17/32<=pL<=43/80, 	AllViolated
67/160<=pK<=17/40,17/32<=pL<=43/80, 	AllViolated
13/32<=pK<=33/80,43/80<=pL<=87/160, 	AllViolated
13/32<=pK<=33/80,87/160<=pL<=11/20, 	AllViolated
27/80<=pK<=11/32,49/80<=pL<=99/160, 	AllSat
11/32<=pK<=7/20,49/80<=pL<=99/160, 	AllSat
27/80<=pK<=11/32,99/160<=pL<=5/8, 	AllSat
27/80<=pK<=11/32,5/8<=pL<=101/160, 	AllSat
13/40<=pK<=53/160,51/80<=pL<=103/160, 	AllSat
53/160<=pK<=27/80,51/80<=pL<=103/160, 	AllSat
13/40<=pK<=53/160,103/160<=pL<=13/20, 	AllSat
11/32<=pK<=7/20,51/80<=pL<=103/160, 	AllViolated
11/32<=pK<=7/20,103/160<=pL<=13/20, 	AllViolated
7/20<=pK<=57/160,3/5<=pL<=97/160, 	AllSat
59/160<=pK<=3/8,3/5<=pL<=97/160, 	AllViolated
29/80<=pK<=59/160,97/160<=pL<=49/80, 	AllViolated
59/160<=pK<=3/8,97/160<=pL<=49/80, 	AllViolated
57/160<=pK<=29/80,49/80<=pL<=99/160, 	AllViolated
57/160<=pK<=29/80,99/160<=pL<=5/8, 	AllViolated
5/16<=pK<=51/160,53/80<=pL<=107/160, 	AllSat
51/160<=pK<=13/40,53/80<=pL<=107/160, 	AllSat
5/16<=pK<=51/160,107/160<=pL<=27/40, 	AllSat
13/40<=pK<=53/160,13/20<=pL<=21/32, 	AllSat
53/160<=pK<=27/80,53/80<=pL<=107/160, 	AllViolated
53/160<=pK<=27/80,107/160<=pL<=27/40, 	AllViolated
5/16<=pK<=51/160,27/40<=pL<=109/160, 	AllSat
3/10<=pK<=49/160,11/16<=pL<=111/160, 	AllSat
49/160<=pK<=5/16,11/16<=pL<=111/160, 	AllSat
3/10<=pK<=49/160,111/160<=pL<=7/10, 	AllSat
51/160<=pK<=13/40,11/16<=pL<=111/160, 	AllViolated
51/160<=pK<=13/40,111/160<=pL<=7/10, 	AllViolated
23/80<=pK<=47/160,29/40<=pL<=117/160, 	AllSat
23/80<=pK<=47/160,117/160<=pL<=59/80, 	AllSat
47/160<=pK<=3/10,119/160<=pL<=3/4, 	AllViolated
11/40<=pK<=9/32,3/4<=pL<=121/160, 	AllSat
9/32<=pK<=23/80,3/4<=pL<=121/160, 	AllSat
11/40<=pK<=9/32,121/160<=pL<=61/80, 	AllSat
47/160<=pK<=3/10,3/4<=pL<=121/160, 	AllViolated
47/160<=pK<=3/10,121/160<=pL<=61/80, 	AllViolated
11/40<=pK<=9/32,61/80<=pL<=123/160, 	AllSat
21/80<=pK<=43/160,63/80<=pL<=127/160, 	AllSat
21/80<=pK<=43/160,127/160<=pL<=4/5, 	AllSat
9/32<=pK<=23/80,31/40<=pL<=25/32, 	AllViolated
9/32<=pK<=23/80,25/32<=pL<=63/80, 	AllViolated
9/32<=pK<=23/80,63/80<=pL<=127/160, 	AllViolated
11/40<=pK<=9/32,127/160<=pL<=4/5, 	AllViolated
9/32<=pK<=23/80,127/160<=pL<=4/5, 	AllViolated
21/80<=pK<=43/160,4/5<=pL<=129/160, 	AllSat
43/160<=pK<=11/40,13/16<=pL<=131/160, 	AllViolated
43/160<=pK<=11/40,131/160<=pL<=33/40, 	AllViolated
1/4<=pK<=41/160,33/40<=pL<=133/160, 	AllSat
1/4<=pK<=41/160,133/160<=pL<=67/80, 	AllSat
43/160<=pK<=11/40,33/40<=pL<=133/160, 	AllViolated
21/80<=pK<=43/160,133/160<=pL<=67/80, 	AllViolated
43/160<=pK<=11/40,133/160<=pL<=67/80, 	AllViolated
1/4<=pK<=41/160,67/80<=pL<=27/32, 	AllSat
19/80<=pK<=39/160,69/80<=pL<=139/160, 	AllSat
39/160<=pK<=1/4,69/80<=pL<=139/160, 	AllSat
19/80<=pK<=39/160,139/160<=pL<=7/8, 	AllSat
19/80<=pK<=39/160,7/8<=pL<=141/160, 	AllSat
19/80<=pK<=39/160,141/160<=pL<=71/80, 	AllSat
39/160<=pK<=1/4,143/160<=pL<=9/10, 	AllViolated
41/160<=pK<=21/80,17/20<=pL<=137/160, 	AllViolated
41/160<=pK<=21/80,137/160<=pL<=69/80, 	AllViolated
41/160<=pK<=21/80,69/80<=pL<=139/160, 	AllViolated
41/160<=pK<=21/80,139/160<=pL<=7/8, 	AllViolated
3/10<=pK<=49/160,7/10<=pL<=113/160, 	AllSat
49/160<=pK<=5/16,57/80<=pL<=23/32, 	AllViolated
49/160<=pK<=5/16,23/32<=pL<=29/40, 	AllViolated
49/160<=pK<=5/16,29/40<=pL<=117/160, 	AllViolated
3/10<=pK<=49/160,117/160<=pL<=59/80, 	AllViolated
49/160<=pK<=5/16,117/160<=pL<=59/80, 	AllViolated
